Gene stable ID	Gene name	Human gene stable ID	Human gene name	Human Whole-genome alignment coverage	Human orthology confidence [0 low, 1 high]
ENSMMUG00000023296		ENSG00000185220	PGBD2	100.00	1
ENSMMUG00000036181	U6	ENSG00000200495	RNU6-1205P	100.00	1
ENSMMUG00000000634	ZNF692	ENSG00000171163	ZNF692	100.00	1
ENSMMUG00000037875	ZNF672	ENSG00000171161	ZNF672	100.00	1
ENSMMUG00000000632	SH3BP5L	ENSG00000175137	SH3BP5L	100.00	1
ENSMMUG00000064799					
ENSMMUG00000057389	LYPD8	ENSG00000259823	LYPD8	100.00	1
ENSMMUG00000031200					
ENSMMUG00000052613					
ENSMMUG00000031199	OR2T27	ENSG00000187701	OR2T27	100.00	1
ENSMMUG00000053841		ENSG00000177151	OR2T35	100.00	1
ENSMMUG00000053841		ENSG00000196240	OR2T2	76.59	1
ENSMMUG00000017095					
ENSMMUG00000025700	Y_RNA	ENSG00000201602	Y_RNA	100.00	1
ENSMMUG00000049101	OR2T10	ENSG00000184022	OR2T10	100.00	1
ENSMMUG00000048289					
ENSMMUG00000017368		ENSG00000188558	OR2G6	0.00	0
ENSMMUG00000055842	OR14I1	ENSG00000189181	OR14I1	100.00	1
ENSMMUG00000031198					
ENSMMUG00000062331	OR9G1	ENSG00000174914	OR9G1	100.00	1
ENSMMUG00000049901		ENSG00000203661	OR2T5	100.00	1
ENSMMUG00000049901		ENSG00000182783	OR2T29	0.00	0
ENSMMUG00000049901		ENSG00000196944	OR2T4	0.00	0
ENSMMUG00000064657		ENSG00000177151	OR2T35	75.87	1
ENSMMUG00000064657		ENSG00000196240	OR2T2	97.36	1
ENSMMUG00000005566	OR2T1	ENSG00000175143	OR2T1	100.00	1
ENSMMUG00000064874	OR2T6	ENSG00000198104	OR2T6	100.00	1
ENSMMUG00000039595		ENSG00000228198	OR2M3	100.00	1
ENSMMUG00000039595		ENSG00000177186	OR2M7	100.00	1
ENSMMUG00000039595		ENSG00000162727	OR2M5	53.57	0
ENSMMUG00000039595		ENSG00000198601	OR2M2	100.00	1
ENSMMUG00000038524	OR2M4	ENSG00000171180	OR2M4	100.00	1
ENSMMUG00000049432		ENSG00000177201	OR2T12	100.00	1
ENSMMUG00000049432		ENSG00000177212	OR2T33	100.00	1
ENSMMUG00000049432		ENSG00000177462	OR2T8	0.00	0
ENSMMUG00000050812					
ENSMMUG00000059065					
ENSMMUG00000064763					
ENSMMUG00000053957		ENSG00000279263	OR2L8	0.00	0
ENSMMUG00000053957		ENSG00000198128	OR2L3	100.00	1
ENSMMUG00000062908	Y_RNA	ENSG00000200982	Y_RNA	100.00	1
ENSMMUG00000057748	OR2L2	ENSG00000203663	OR2L2	100.00	1
ENSMMUG00000051218	Y_RNA	ENSG00000200085	Y_RNA	100.00	1
ENSMMUG00000050041	OR2L5	ENSG00000197454	OR2L5	100.00	1
ENSMMUG00000052261		ENSG00000279263	OR2L8	0.00	0
ENSMMUG00000052261		ENSG00000198128	OR2L3	0.00	1
ENSMMUG00000054556	Y_RNA				
ENSMMUG00000060886		ENSG00000196071	OR2L13	0.00	0
ENSMMUG00000062168		ENSG00000279263	OR2L8	100.00	1
ENSMMUG00000062168		ENSG00000198128	OR2L3	0.00	0
ENSMMUG00000059751	Y_RNA	ENSG00000199442	Y_RNA	0.00	0
ENSMMUG00000018891					
ENSMMUG00000056262		ENSG00000177201	OR2T12	0.00	0
ENSMMUG00000056262		ENSG00000177212	OR2T33	0.00	0
ENSMMUG00000056262		ENSG00000177462	OR2T8	100.00	1
ENSMMUG00000038159	OR2W3	ENSG00000238243	OR2W3	100.00	1
ENSMMUG00000005570	TRIM58	ENSG00000162722	TRIM58	100.00	1
ENSMMUG00000006214	OR11L1	ENSG00000197591	OR11L1	95.61	1
ENSMMUG00000056211					
ENSMMUG00000049478	OR9H1P	ENSG00000228336	OR9H1P	100.00	1
ENSMMUG00000062849	OR1C1	ENSG00000221888	OR1C1	100.00	1
ENSMMUG00000064145	OR14K1	ENSG00000153230	OR14K1	100.00	1
ENSMMUG00000059455	OR14A2	ENSG00000241128	OR14A2	100.00	1
ENSMMUG00000016175	OR6F1	ENSG00000169214	OR6F1	100.00	1
ENSMMUG00000016176	OR13G1	ENSG00000197437	OR13G1	100.00	1
ENSMMUG00000058340					
ENSMMUG00000005955	GCSAML	ENSG00000169224	GCSAML	100.00	1
ENSMMUG00000012954	OR2C3	ENSG00000196242	OR2C3	100.00	1
ENSMMUG00000060427					
ENSMMUG00000005949	OR2B11	ENSG00000177535	OR2B11	100.00	1
ENSMMUG00000005946	NLRP3	ENSG00000162711	NLRP3	100.00	1
ENSMMUG00000052686					
ENSMMUG00000019585	ZNF496	ENSG00000162714	ZNF496	100.00	1
ENSMMUG00000064912	Y_RNA	ENSG00000202079	Y_RNA	100.00	1
ENSMMUG00000021266					
ENSMMUG00000058602					
ENSMMUG00000059322					
ENSMMUG00000004566	ZNF124	ENSG00000196418	ZNF124	13.56	1
ENSMMUG00000058214					
ENSMMUG00000023311		ENSG00000188295	ZNF669	0.00	1
ENSMMUG00000050290	ZNF670	ENSG00000277462	ZNF670	100.00	1
ENSMMUG00000054567					
ENSMMUG00000031191					
ENSMMUG00000061999	Metazoa_SRP				
ENSMMUG00000016408	AHCTF1	ENSG00000153207	AHCTF1	100.00	1
ENSMMUG00000049281					
ENSMMUG00000053269					
